30/05/2018 11:55:00: 6462,5
30/05/2018 12:00:00: 6448,2
30/05/2018 12:05:00: 6447,3
30/05/2018 12:10:00: 6451
30/05/2018 12:15:00: 6457,4
30/05/2018 12:20:00: 6458,5
30/05/2018 12:25:00: 6473,9
30/05/2018 12:30:00: 6463,2
30/05/2018 12:35:00: 6462,9
30/05/2018 12:40:00: 6470
30/05/2018 12:45:00: 6485
30/05/2018 12:50:00: 6463
30/05/2018 12:55:00: 6466,4
30/05/2018 13:00:00: 6460,9
30/05/2018 13:05:00: 6448,8
30/05/2018 13:10:00: 6463,2
30/05/2018 13:15:00: 6470
30/05/2018 13:20:00: 6453,7
30/05/2018 13:25:00: 6476,8
30/05/2018 13:30:00: 6470
30/05/2018 13:35:00: 6476,6
30/05/2018 13:40:00: 6449,6
30/05/2018 13:45:00: 6453,6
30/05/2018 13:50:00: 6455
30/05/2018 13:55:00: 6459,9
30/05/2018 14:00:00: 6468,8
30/05/2018 14:05:00: 6464,1
30/05/2018 14:10:00: 6462
30/05/2018 14:15:00: 6470
30/05/2018 14:20:00: 6477,9
30/05/2018 14:25:00: 6481,6
30/05/2018 14:30:00: 6484,3
30/05/2018 14:35:00: 6491,6
30/05/2018 14:40:00: 6487,7
30/05/2018 14:45:00: 6481,6
30/05/2018 14:50:00: 6480,3
30/05/2018 14:55:00: 6479,5
30/05/2018 15:00:00: 6485,3
30/05/2018 15:05:00: 6485,6
30/05/2018 15:10:00: 6483,6
30/05/2018 15:15:00: 6479,4
30/05/2018 15:20:00: 6466,5
30/05/2018 15:25:00: 6461,7
30/05/2018 15:30:00: 6458,5
30/05/2018 15:35:00: 6468,2
30/05/2018 15:40:00: 6465
30/05/2018 15:45:00: 6469,9
30/05/2018 15:50:00: 6477,7
30/05/2018 15:55:00: 6468,2
30/05/2018 16:00:00: 6468,9
30/05/2018 16:05:00: 6469,6
30/05/2018 16:10:00: 6459,5
30/05/2018 16:15:00: 6469,8
30/05/2018 16:20:00: 6469,8
30/05/2018 16:25:00: 6466,5
30/05/2018 16:30:00: 6461,9
30/05/2018 16:35:00: 6456,7
30/05/2018 16:40:00: 6456,8
30/05/2018 16:45:00: 6396,8
30/05/2018 16:50:00: 6401,9
30/05/2018 16:55:00: 6360,6
30/05/2018 17:00:00: 6319
30/05/2018 17:05:00: 6326
30/05/2018 17:10:00: 6322
30/05/2018 17:15:00: 6312,9
30/05/2018 17:20:00: 6322,5
30/05/2018 17:25:00: 6323
30/05/2018 17:30:00: 6318,7
30/05/2018 17:35:00: 6308,3
30/05/2018 17:40:00: 6310,9
30/05/2018 17:45:00: 6320
30/05/2018 17:50:00: 6303,5
30/05/2018 17:55:00: 6300,4
30/05/2018 18:00:00: 6301,4
30/05/2018 18:05:00: 6307,2
30/05/2018 18:10:00: 6314
30/05/2018 18:15:00: 6320
30/05/2018 18:20:00: 6315
30/05/2018 18:25:00: 6300,4
30/05/2018 18:30:00: 6304,7
30/05/2018 18:35:00: 6287,3
30/05/2018 18:40:00: 6265,7
30/05/2018 18:45:00: 6277
30/05/2018 18:50:00: 6273,5
30/05/2018 18:55:00: 6271,3
30/05/2018 19:00:00: 6267
30/05/2018 19:05:00: 6270
30/05/2018 19:10:00: 6284,6
30/05/2018 19:15:00: 6287,4
30/05/2018 19:20:00: 6275,9
30/05/2018 19:25:00: 6275,3
30/05/2018 19:30:00: 6278,5
30/05/2018 19:35:00: 6282,2
30/05/2018 19:40:00: 6282,2
30/05/2018 19:45:00: 6282,3
30/05/2018 19:50:00: 6287
30/05/2018 19:55:00: 6289,3
30/05/2018 20:00:00: 6291,2
30/05/2018 20:05:00: 6294,8
30/05/2018 20:10:00: 6295,7
30/05/2018 20:15:00: 6294,7
30/05/2018 20:20:00: 6287,7
30/05/2018 20:25:00: 6286,6
30/05/2018 20:30:00: 6286,9
30/05/2018 20:35:00: 6288,1
30/05/2018 20:40:00: 6281,9
30/05/2018 20:45:00: 6282,7
30/05/2018 20:50:00: 6282,3
30/05/2018 20:55:00: 6272
30/05/2018 21:00:00: 6272,1
30/05/2018 21:05:00: 6272
30/05/2018 21:10:00: 6268
30/05/2018 21:15:00: 6268,5
30/05/2018 21:20:00: 6270,7
30/05/2018 21:25:00: 6272,2
30/05/2018 21:30:00: 6272
30/05/2018 21:35:00: 6270,1
30/05/2018 21:40:00: 6271,4
30/05/2018 21:45:00: 6281,3
30/05/2018 21:50:00: 6286,9
30/05/2018 21:55:00: 6280
30/05/2018 22:00:00: 6285,4
30/05/2018 22:05:00: 6297
30/05/2018 22:10:00: 6308,9
30/05/2018 22:15:00: 6302,1
30/05/2018 22:20:00: 6296,9
30/05/2018 22:25:00: 6291,3
30/05/2018 22:30:00: 6293,9
30/05/2018 22:35:00: 6304
30/05/2018 22:40:00: 6310
30/05/2018 22:45:00: 6309
30/05/2018 22:50:00: 6300
30/05/2018 22:55:00: 6299,4
30/05/2018 23:00:00: 6297,9
30/05/2018 23:05:00: 6296
30/05/2018 23:10:00: 6294,8
30/05/2018 23:15:00: 6292
30/05/2018 23:20:00: 6291,9
30/05/2018 23:25:00: 6283
30/05/2018 23:30:00: 6292,1
30/05/2018 23:35:00: 6297
30/05/2018 23:40:00: 6305
30/05/2018 23:45:00: 6297,8
30/05/2018 23:50:00: 6297
30/05/2018 23:55:00: 6295
31/05/2018 0:00:00: 6292,1
31/05/2018 0:05:00: 6297,9
31/05/2018 0:10:00: 6298,4
31/05/2018 0:15:00: 6298,5
31/05/2018 0:20:00: 6298,6
31/05/2018 0:25:00: 6305,8
31/05/2018 0:30:00: 6306,2
31/05/2018 0:35:00: 6303,3
31/05/2018 0:40:00: 6303,6
31/05/2018 0:45:00: 6308
31/05/2018 0:50:00: 6309,1
31/05/2018 0:55:00: 6310
31/05/2018 1:00:00: 6318,5
31/05/2018 1:05:00: 6312,8
31/05/2018 1:10:00: 6317
31/05/2018 1:15:00: 6322,4
31/05/2018 1:20:00: 6320,9
31/05/2018 1:25:00: 6328,2
31/05/2018 1:30:00: 6328
31/05/2018 1:35:00: 6330,3
31/05/2018 1:40:00: 6335
31/05/2018 1:45:00: 6335,7
31/05/2018 1:50:00: 6336,3
31/05/2018 1:55:00: 6335,2
31/05/2018 2:00:00: 6326,5
31/05/2018 2:05:00: 6316,5
31/05/2018 2:10:00: 6312,4
31/05/2018 2:15:00: 6321
31/05/2018 2:20:00: 6325
31/05/2018 2:25:00: 6328
31/05/2018 2:30:00: 6320,1
31/05/2018 2:35:00: 6313,3
31/05/2018 2:40:00: 6317,7
31/05/2018 2:45:00: 6312,9
31/05/2018 2:50:00: 6316,4
31/05/2018 2:55:00: 6325,7
31/05/2018 3:00:00: 6317,8
31/05/2018 3:05:00: 6312,8
31/05/2018 3:10:00: 6318,4
31/05/2018 3:15:00: 6315,8
31/05/2018 3:20:00: 6311,1
31/05/2018 3:25:00: 6314,1
31/05/2018 3:30:00: 6312,6
31/05/2018 3:35:00: 6311
31/05/2018 3:40:00: 6309,7
31/05/2018 3:45:00: 6310
31/05/2018 3:50:00: 6310,8
31/05/2018 3:55:00: 6310
31/05/2018 4:00:00: 6309,6
31/05/2018 4:05:00: 6305,9
31/05/2018 4:10:00: 6308
31/05/2018 4:15:00: 6318,6
31/05/2018 4:20:00: 6310,6
31/05/2018 4:25:00: 6310,2
31/05/2018 4:30:00: 6308,1
31/05/2018 4:35:00: 6308,2
31/05/2018 4:40:00: 6307,7
31/05/2018 4:45:00: 6307,8
31/05/2018 4:50:00: 6307,8
31/05/2018 4:55:00: 6308,4
31/05/2018 5:00:00: 6312
31/05/2018 5:05:00: 6315,2
31/05/2018 5:10:00: 6317,2
